Nombre,Partido,Estado,Cabecera Municipal
Zavala Gómez del Campo Margarita Ester,PAN,Ciudad de México,Miguel Hidalgo
Zepeda Martínez Leticia,PAN,Estado de México, 
Abramo Masso Yerico,PRI,Coahuila,Saltillo
Aceves García Norma Angélica,PRI,Hidalgo, 
Acosta Peña Brasil Alberto,PRI,Estado de México, 
Aguilar Castillo Ricardo,PRI,Estado de México, 
Aguilar Cifuentes Yeimi Yazmín,PRI,Chiapas,San Cristóbal de las Casas
Aguirre Maldonado Ma. de Jesús,PRI,Nuevo León,Guadalupe
Alcalá Ruiz Blanca Maria del Socorro,PRI,Puebla, 
Alcántara Rojas Maria Guadalupe,PRI,Ciudad de México, 
Amezcua González Cristina,PRI,Coahuila,Monclova
Angulo Briceño Pablo Guillermo,PRI,Campeche, 
Arcos Velázquez Montserrat Alicia,PRI,Tamaulipas, 
Armentía López Pedro,PRI,Campeche, 
Ayala Villalobos Karla,PRI,Ciudad de México,Tlalpan
Azuara Yarzábal Frinné,PRI,San Luis Potosí, 
Barrera Fortoul Laura,PRI,Estado de México, 
Barrón Perales Karina Marlen,PRI,Nuevo León,Monterrey
Bernal Bolnik Sue Ellen,PRI,Estado de México,Ojo de Agua
Bueno Zertuche Jaime,PRI,Coahuila,Saltillo
Camarena Jáuregui María del Refugio,PRI,Jalisco,Tonalá
Campos Huirache Adriana,PRI,Michoacán,Zacapu
Cantú Ramírez Andrés Mauricio,PRI,Nuevo León,Apodaca
Cárdenas Monroy Oscar Gustavo,PRI,Estado de México,Atlacomulco de Fabela
Carvajal Isunza Sofía,PRI,Guanajuato, 
Casique Zárate Javier,PRI,Estado de México, 
Castellanos Ramírez Alan,PRI,Estado de México,Los Reyes Acaquilpan
Cruz Mendoza Eufrosina,PRI,Oaxaca, 
Dávila Ramírez Carolina,PRI,Zacatecas,Guadalupe
Díaz Tejeda Nelida Ivonne Sabrina,PRI,Nayarit, 
Espinoza Eguia Juan Francisco,PRI,Nuevo León,Linares
Fletes Araiza José Guadalupe,PRI,Jalisco,Autlán de Navarro
Fuentes Ávila Rodrigo,PRI,Coahuila, 
Gamboa Miner Pablo,PRI,Yucatán, 
Garza Ochoa José Luis,PRI,Nuevo León,Benito Juárez
Gómez Cambrón Sofía,PRI,Estado de México,Toluca de Lerdo
Gómez Villanueva Augusto,PRI,Ciudad de México, 
González Aguirre Mariano,PRI,Durango, 
González Zirión Xavier,PRI,Ciudad de México,Álvaro Obregón
Guajardo Villarreal Ildefonso,PRI,Nuevo León, 
Guerra Castillo Marcela,PRI,Nuevo León,Monterrey
Guerrero Esquivel Fuensanta Guadalupe,PRI,Zacatecas, 
Gutiérrez Jardón José Antonio,PRI,Coahuila,Torreón
Haro Ramírez Laura Lorena,PRI,Jalisco, 
Hernández Deras Ismael Alfredo,PRI,Durango, 
Hernández Pérez Johana Montcerrat,PRI,Hidalgo, 
Hernández Zetina Hiram,PRI,Chihuahua, 
Herrera Anzaldo Ana Lilia,PRI,Estado de México,Metepec
Iriarte Mercado Carlos,PRI,Ciudad de México, 
Jaimes Albarrán Jazmín,PRI,Estado de México,Tejupilco de Hidalgo
Jiménez Aquino Lázaro Cuauhtémoc,PRI,Puebla, 
López Castro Cynthia Iliana,PRI,Ciudad de México, 
López García Roberto Carlos,PRI,Michoacán,Morelia
Medina Ramirez Tereso,PRI,Coahuila, 
Mendoza Bustamante Marco Antonio,PRI,Hidalgo, 
Moreira Valdez Rubén Ignacio,PRI,Coahuila, 
Moreno Cárdenas Rafael Alejandro,PRI,Ciudad de México, 
Murat Hinojosa Eduardo Enrique,PRI,Morelos, 
Nassar Piñeyro Mariana Erandi,PRI,Oaxaca, 
Piñón Rivera Lorena,PRI,Veracruz, 
Rodríguez Muñoz Reynel,PRI,Guerrero,Cd. Altamirano
Ruiz Sandoval Cristina,PRI,Estado de México, 
Sámano Peralta Miguel,PRI,Estado de México,Jilotepec de Andrés Molina Enríquez
Sanchez Escobedo Maria Jose,PRI,Jalisco, 
Sánchez Ramos Paloma,PRI,Sinaloa, 
Serrano Maldonado Ma Elena,PRI,Michoacán, 
Vargas Rodríguez Sayonara,PRI,Hidalgo,Huejutla de Reyes
Viggiano Austria Alma Carolina,PRI,Hidalgo, 
Villaseñor Dávila Maribel Guadalupe,PRI,Ciudad de México,Gustavo A. Madero
Yunes Zorrilla José Francisco,PRI,Veracruz,Coatepec
Zarzosa Sánchez Eduardo,PRI,Estado de México,San Felipe del Progreso
Aguilar Piña Kevin Angelo,PVEM,San Luis Potosí,Rioverde
Alcalá Izguerra María José,PVEM,Querétaro, 
Buenrostro Martínez José Guadalupe,PVEM,Jalisco,Jocotepec
Bugarin Rodríguez Jasmine María,PVEM,Nayarit,Tepic
Carrillo Soberanis Juan Luis,PVEM,Quintana Roo,Playa del Carmen
Castrejón Trujillo Karen,PVEM,Estado de México, 
Corona Nakamura María del Rocío,PVEM,Jalisco,Guadalajara
Cruz Peláez Fatima Almendra,PVEM,Puebla,Cuautilulco Barrio
Delgadillo Gonzalez Claudia,PVEM,Jalisco,Guadalajara
Domínguez Zopiyactle Itzel Aleli,PVEM,Veracruz,Zongolica
Estefan Gillessen José Antonio,PVEM,Oaxaca,Ciudad Ixtepec
Fernández Cruz Nayeli Arlen,PVEM,Ciudad de México, 
Gallardo García Fausto,PVEM,Baja California,Tijuana
Gómez Betancourt Armando Antonio,PVEM,Veracruz,Pánuco
González Cruz Luis Arturo,PVEM,Baja California, 
González Lima Juan,PVEM,Tamaulipas,Río Bravo
Hernández Villafuerte Gilberto,PVEM,San Luis Potosí,San Luis Potosí
Huerta Valdovinos Ana Laura,PVEM,Tamaulipas,Nuevo Laredo
Llaven Abarca Jorge Luis,PVEM,Chiapas,Tuxtla Gutiérrez
López Casarín Javier Joaquín,PVEM,Ciudad de México, 
Martínez Bravo Luis Alberto,PVEM,Estado de México, 
Melgar Bravo Luis Armando,PVEM,Chiapas,Huehuetán
Mendoza Díaz Sonia,PVEM,San Luis Potosí, 
Montemayor Castillo Santy,PVEM,Quintana Roo, 
Montes de Oca Avendaño Juan Pablo,PVEM,Chiapas,Villaflores
Monzón García Eunice,PVEM,Guerrero,Ayutla de los Libres
Natale Gutiérrez Marco Antonio,PVEM,Puebla,Huauchinango de Degollado
Natale López Juan Carlos,PVEM,Veracruz, 
Navarrete Navarro Consuelo del Carmen,PVEM,Yucatán,Ticul
Navarro Muñiz Juan Manuel,PVEM,San Luis Potosí,Soledad de Graciano Sánchez
Palacios Diaz Luis Edgardo,PVEM,Guerrero,Zihuatanejo
Peña Martínez Angélica,PVEM,Veracruz,Huatusco
Peraza Ramírez Mario Xavier,PVEM,Yucatán,Progreso
Pinete Vargas María del Carmen,PVEM,Veracruz,Tantoyuca
Puente Salas Carlos Alberto,PVEM,Zacatecas, 
Quijano Tapia Janine Patricia,PVEM,Yucatán, 
Rubio Montejo Roberto Antonio,PVEM,Chiapas,Las Margaritas
Salomón Durán Ciria Yamile,PVEM,Hidalgo,Ixmiquilpan
Sánchez Sánchez Christian Joaquín,PVEM,San Luis Potosí,Tamazunchale
Santiago Barrientos Valeria,PVEM,Chiapas, 
Segovia Hernández Roberto Alejandro,PVEM,San Luis Potosí,Matehuala
Aguilar Gil Lilia,PT,Chihuahua,Juárez
